policy,terrain,success_rate,fall_count,collision_rate,tracking_rmse_mps,mean_mechanical_power_w,mean_tilt_rad
baseline5001,flat,1.0000,0,0.0000,0.1131,23.40,0.0316
baseline5001,slope,1.0000,0,0.0000,0.2404,26.71,0.1815
baseline5001,rough_slope,1.0000,0,0.0000,0.2680,27.27,0.1801
baseline5001,stairs_up,0.9583,32,0.2381,0.4592,26.57,0.1816
baseline5001,stairs_down,0.9206,67,0.1034,0.4450,20.11,0.3491
baseline5001,obstacles,0.9193,67,0.1088,0.3734,22.29,0.1578
baseline5001,wave,0.9857,11,0.0046,0.3851,27.58,0.2874
curriculum_seed1_5601,flat,1.0000,0,0.0000,0.0726,21.01,0.0140
curriculum_seed1_5601,slope,1.0000,0,0.0000,0.0949,28.79,0.1357
curriculum_seed1_5601,rough_slope,1.0000,0,0.0000,0.1109,31.15,0.1438
curriculum_seed1_5601,stairs_up,0.9427,48,0.2789,0.4489,26.04,0.2136
curriculum_seed1_5601,stairs_down,0.9271,56,0.0833,0.3332,43.54,0.3095
curriculum_seed1_5601,obstacles,0.8737,108,0.1290,0.3244,26.30,0.1331
curriculum_seed1_5601,wave,0.9661,26,0.0353,0.2383,41.38,0.2348
curriculum_seed2_5601,flat,1.0000,0,0.0000,0.0623,23.42,0.0189
curriculum_seed2_5601,slope,1.0000,0,0.0000,0.0785,31.20,0.1335
curriculum_seed2_5601,rough_slope,1.0000,0,0.0000,0.0971,32.99,0.1403
curriculum_seed2_5601,stairs_up,0.8242,164,0.2353,0.4374,35.01,0.3052
curriculum_seed2_5601,stairs_down,0.9062,72,0.0949,0.3057,45.62,0.3106
curriculum_seed2_5601,obstacles,0.8698,110,0.1208,0.3166,29.98,0.1401
curriculum_seed2_5601,wave,0.9544,35,0.0409,0.2281,43.21,0.2274
